0  1
1  2
2  50
3  2256
4  292006
5  124394172
6  182189852062
7  937116505296162
8  17167376550995687961
9  1130911800993488803731078
10  269650395624478266477331223678
11  233772496350603982679550385266064014
12  739330863241806743025423160490836132227125
13  8551000409049037000098287028025432585191736309022
14  362378501157171575915086740862352731989136965188978227480
15  56355164888885592354051749345529297798069126440063716209024866536
16  32200232301152973892060847293393239105831802930525492217459523426803019578
17  67665662468515970834966508500944029204762050650693102413477819738278462353187499568
18  523379303813002076273464810690096008845689319359263297454993915567005968614237413818526075604
19  14910759530495548949623554019916848509888902630562528597658761833271654794704911307455162596911430188758
20  1565552766529028680644951163416182891619237381422347104413735417263587336683056846547108571311383043144417391243521
21  606084065190103550545340197138093542241444175895240820944713102199472484407589836051473378294437969118344993099132112988392420
22  865520866516174852434302085316123704413013184383267585803777199791333436065070398518809805939514793360791184628285127191002600593996365368
23  4560992075553129850922927762995312993575376533697147813417446333497150777368818523814441027249715528879466279022480571252085818753070411144055018204876
24  88718729299059562850997307819335993122314801341423818394843508516540284335394844383553598429174621313143090882997603769027577322213964104279601294505719147199388248
25  6371850587510704465849294714166605694358498327959158268953676175064720102088107446652503452442438514332661839511396033679344990952004170416492446601538481306356885482155377886638
26  1690113361272638089564412600147895085451226125158697875455343806307988763259201392451007110767935854996504549679554397321246918091898802222542458839160812960021404785245887985513225511176452673
27  1.655997282774070435210418157944075819456e+207
28  5.994874963104673391467998426635989986093e+222
29  8.019580815111303439162973799188935172728e+238
30  3.964978853328936213676777881207617205490e+255
31  7.246157045975695885582745332380673201233e+272
32  4.895606104097221704341056589607526312552e+290
33  1.222886581227871325048200697388172585387e+309
34  1.129513817377907277679789734260304294386e+328
35  3.858009639622427882150523986024599263938e+347
36  4.873474630647095853986792278666967470174e+367
37  2.276941646785247133372888280946166219092e+388
38  3.934905122362684669719531346133244963326e+409
39  2.515444338763667068799935261937066659522e+431
40  5.948670687315233096005155096801440887696e+453
41  5.204447111260932488474409189346947684610e+476
42  1.684618671810773929603586234112036661473e+500
43  2.017540250142543312625700582348956826039e+524
44  8.940383733229302756773197436379751828566e+548
45  1.465959209312396381979955081143948477898e+574
46  8.894808023301757455163003460682041185175e+599
47  1.997175871531135974526173680413673679836e+626
48  1.659495678990389194353799066546943522985e+653
49  5.103053615668118676795231091485945329108e+680
50  5.807531422172708964817116254025594674558e+708
51  2.446092550846784311444723401196350756911e+737
52  3.813166739755750218303388952069800632092e+766
53  2.200094534355959301656041994582698557515e+796
54  4.698399439542307884932788997269614639273e+826
55  3.713824824915610941474502406543414323416e+857
56  1.086588430175157253236442287947558268940e+889
57  1.176764945952016278881365310492006743004e+921
58  4.717410723726682175296802019241689339877e+953
59  7.000271523800060033699056155182309133811e+986
60  3.845305164116347258550607121736384921414e+1020
61  7.819132955702306484685246666212237548440e+1054
62  5.885793490077877293614022155499480471165e+1089
63  1.640123424401538349229893979077228969953e+1125
64  1.691917838391494600457000354457862418850e+1161
